,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
68,26/08/2020,26,8,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,2.10820967
69,25/08/2020,25,8,2020,71,10,Afghanistan,AF,AFG,38041757.0,Asia,2.67074941
70,24/08/2020,24,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239
71,23/08/2020,23,8,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239
72,22/08/2020,22,8,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia,2.31061883
73,21/08/2020,21,8,2020,97,2,Afghanistan,AF,AFG,38041757.0,Asia,2.41576644
74,20/08/2020,20,8,2020,160,8,Afghanistan,AF,AFG,38041757.0,Asia,2.26855978
75,19/08/2020,19,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.02409158
76,18/08/2020,18,8,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,2.23964419
77,17/08/2020,17,8,2020,45,5,Afghanistan,AF,AFG,38041757.0,Asia,2.32901966
78,16/08/2020,16,8,2020,120,7,Afghanistan,AF,AFG,38041757.0,Asia,2.21072859
79,15/08/2020,15,8,2020,7,0,Afghanistan,AF,AFG,38041757.0,Asia,1.89528575
80,14/08/2020,14,8,2020,79,9,Afghanistan,AF,AFG,38041757.0,Asia,2.3185048999999998
81,13/08/2020,13,8,2020,76,10,Afghanistan,AF,AFG,38041757.0,Asia,2.29747538
82,12/08/2020,12,8,2020,215,32,Afghanistan,AF,AFG,38041757.0,Asia,2.09769491
83,11/08/2020,11,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.80328159
84,10/08/2020,10,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.07929408
85,09/08/2020,9,8,2020,39,5,Afghanistan,AF,AFG,38041757.0,Asia,2.35793526
86,08/08/2020,8,8,2020,78,9,Afghanistan,AF,AFG,38041757.0,Asia,2.57348786
87,07/08/2020,7,8,2020,41,0,Afghanistan,AF,AFG,38041757.0,Asia,2.65234858
88,06/08/2020,6,8,2020,67,4,Afghanistan,AF,AFG,38041757.0,Asia,2.57874525
89,05/08/2020,5,8,2020,82,6,Afghanistan,AF,AFG,38041757.0,Asia,2.89681678
90,04/08/2020,4,8,2020,37,4,Afghanistan,AF,AFG,38041757.0,Asia,2.97567749
91,03/08/2020,3,8,2020,0,1,Afghanistan,AF,AFG,38041757.0,Asia,3.2464326
92,02/08/2020,2,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.70382472
93,01/08/2020,1,8,2020,168,12,Afghanistan,AF,AFG,38041757.0,Asia,3.73536901
94,31/07/2020,31,7,2020,71,0,Afghanistan,AF,AFG,38041757.0,Asia,3.86943221
95,30/07/2020,30,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.88257567
96,29/07/2020,29,7,2020,103,1,Afghanistan,AF,AFG,38041757.0,Asia,4.55026302
97,28/07/2020,28,7,2020,105,1,Afghanistan,AF,AFG,38041757.0,Asia,5.02868466
98,27/07/2020,27,7,2020,106,10,Afghanistan,AF,AFG,38041757.0,Asia,4.76318694
99,26/07/2020,26,7,2020,121,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48454576
100,25/07/2020,25,7,2020,108,35,Afghanistan,AF,AFG,38041757.0,Asia,4.38991291
101,24/07/2020,24,7,2020,13,0,Afghanistan,AF,AFG,38041757.0,Asia,5.30995453
102,23/07/2020,23,7,2020,188,21,Afghanistan,AF,AFG,38041757.0,Asia,5.9460976
103,22/07/2020,22,7,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,5.60699654
104,21/07/2020,21,7,2020,140,5,Afghanistan,AF,AFG,38041757.0,Asia,5.8646082
105,20/07/2020,20,7,2020,174,17,Afghanistan,AF,AFG,38041757.0,Asia,6.63481448
106,19/07/2020,19,7,2020,12,17,Afghanistan,AF,AFG,38041757.0,Asia,6.91082696
107,18/07/2020,18,7,2020,219,32,Afghanistan,AF,AFG,38041757.0,Asia,7.79406692
108,17/07/2020,17,7,2020,76,21,Afghanistan,AF,AFG,38041757.0,Asia,8.01224823
109,16/07/2020,16,7,2020,254,49,Afghanistan,AF,AFG,38041757.0,Asia,8.30140416
110,15/07/2020,15,7,2020,285,33,Afghanistan,AF,AFG,38041757.0,Asia,8.47226904
111,14/07/2020,14,7,2020,4,2,Afghanistan,AF,AFG,38041757.0,Asia,8.4564969
112,13/07/2020,13,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,9.15835722
113,12/07/2020,12,7,2020,85,16,Afghanistan,AF,AFG,38041757.0,Asia,10.08102754
114,11/07/2020,11,7,2020,458,37,Afghanistan,AF,AFG,38041757.0,Asia,10.29132277
115,10/07/2020,10,7,2020,255,20,Afghanistan,AF,AFG,38041757.0,Asia,9.81290112
116,09/07/2020,9,7,2020,59,1,Afghanistan,AF,AFG,38041757.0,Asia,10.35178265
117,08/07/2020,8,7,2020,210,16,Afghanistan,AF,AFG,38041757.0,Asia,10.81180346
118,07/07/2020,7,7,2020,433,56,Afghanistan,AF,AFG,38041757.0,Asia,11.14827583
119,06/07/2020,6,7,2020,279,38,Afghanistan,AF,AFG,38041757.0,Asia,10.82494691
120,05/07/2020,5,7,2020,348,7,Afghanistan,AF,AFG,38041757.0,Asia,11.16667666
121,04/07/2020,4,7,2020,302,12,Afghanistan,AF,AFG,38041757.0,Asia,11.68715735
122,03/07/2020,3,7,2020,186,33,Afghanistan,AF,AFG,38041757.0,Asia,11.80281973
123,02/07/2020,2,7,2020,319,28,Afghanistan,AF,AFG,38041757.0,Asia,13.04356158
124,01/07/2020,1,7,2020,279,13,Afghanistan,AF,AFG,38041757.0,Asia,13.68759072
125,30/06/2020,30,6,2020,271,12,Afghanistan,AF,AFG,38041757.0,Asia,15.01245066
126,29/06/2020,29,6,2020,351,18,Afghanistan,AF,AFG,38041757.0,Asia,16.30050894
127,28/06/2020,28,6,2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia,17.12328902
128,27/06/2020,27,6,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia,18.15110695
129,26/06/2020,26,6,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia,19.15000929
130,25/06/2020,25,6,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia,19.90444343
131,24/06/2020,24,6,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia,21.08735409
132,23/06/2020,23,6,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia,21.62360692
133,22/06/2020,22,6,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia,22.32020987
134,21/06/2020,21,6,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia,23.32436959
135,20/06/2020,20,6,2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia,23.41900244
136,19/06/2020,19,6,2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia,24.91472726
137,18/06/2020,18,6,2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia,25.25382831
138,17/06/2020,17,6,2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia,25.76379424
139,16/06/2020,16,6,2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia,25.70070567
140,15/06/2020,15,6,2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia,25.13290856
141,14/06/2020,14,6,2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia,25.174967600000002
142,13/06/2020,13,6,2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia,25.98986161
143,12/06/2020,12,6,2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia,25.90311483
144,11/06/2020,11,6,2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia,25.46412354
145,10/06/2020,10,6,2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia,25.30903081
146,09/06/2020,9,6,2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia,25.61395889
147,08/06/2020,8,6,2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia,25.65601794
148,07/06/2020,7,6,2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia,25.11187903
149,06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia,25.63761711
150,05/06/2020,5,6,2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia,24.65185822
151,04/06/2020,4,6,2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia,23.97891349
152,03/06/2020,3,6,2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia,23.27968185
153,02/06/2020,2,6,2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia,22.81177497
154,01/06/2020,1,6,2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia,22.45164439
155,31/05/2020,31,5,2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia,21.35285181
156,30/05/2020,30,5,2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia,19.07640596
157,29/05/2020,29,5,2020,580,8,Afghanistan,AF,AFG,38041757.0,Asia,20.23302972
158,28/05/2020,28,5,2020,625,7,Afghanistan,AF,AFG,38041757.0,Asia,19.00543132
159,27/05/2020,27,5,2020,658,1,Afghanistan,AF,AFG,38041757.0,Asia,18.04333065
160,26/05/2020,26,5,2020,591,1,Afghanistan,AF,AFG,38041757.0,Asia,17.04968569
161,25/05/2020,25,5,2020,584,2,Afghanistan,AF,AFG,38041757.0,Asia,16.24530644
162,24/05/2020,24,5,2020,782,11,Afghanistan,AF,AFG,38041757.0,Asia,15.68013801
163,23/05/2020,23,5,2020,540,12,Afghanistan,AF,AFG,38041757.0,Asia,14.29481819
164,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,38041757.0,Asia,13.44049382
165,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,38041757.0,Asia,12.49416529
166,20/05/2020,20,5,2020,581,5,Afghanistan,AF,AFG,38041757.0,Asia,11.64246962
167,19/05/2020,19,5,2020,408,4,Afghanistan,AF,AFG,38041757.0,Asia,10.98266833
168,18/05/2020,18,5,2020,262,1,Afghanistan,AF,AFG,38041757.0,Asia,10.40961384
169,17/05/2020,17,5,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,10.3386392
170,16/05/2020,16,5,2020,1063,32,Afghanistan,AF,AFG,38041757.0,Asia,10.6908837
171,15/05/2020,15,5,2020,113,6,Afghanistan,AF,AFG,38041757.0,Asia,8.32769107
172,14/05/2020,14,5,2020,259,3,Afghanistan,AF,AFG,38041757.0,Asia,8.61421832
173,13/05/2020,13,5,2020,280,5,Afghanistan,AF,AFG,38041757.0,Asia,8.25408774
174,12/05/2020,12,5,2020,285,2,Afghanistan,AF,AFG,38041757.0,Asia,7.84401204
175,11/05/2020,11,5,2020,369,5,Afghanistan,AF,AFG,38041757.0,Asia,7.54697003
176,10/05/2020,10,5,2020,255,6,Afghanistan,AF,AFG,38041757.0,Asia,6.75573423
177,09/05/2020,9,5,2020,215,3,Afghanistan,AF,AFG,38041757.0,Asia,6.37983151
178,08/05/2020,8,5,2020,171,2,Afghanistan,AF,AFG,38041757.0,Asia,5.99867141
179,07/05/2020,7,5,2020,168,9,Afghanistan,AF,AFG,38041757.0,Asia,5.82517784
180,06/05/2020,6,5,2020,330,5,Afghanistan,AF,AFG,38041757.0,Asia,5.60436785
181,05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,38041757.0,Asia,4.89725015
182,04/05/2020,4,5,2020,235,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48980314
183,03/05/2020,3,5,2020,134,4,Afghanistan,AF,AFG,38041757.0,Asia,4.10338566
184,02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,38041757.0,Asia,3.91674864
185,01/05/2020,1,5,2020,222,4,Afghanistan,AF,AFG,38041757.0,Asia,3.61970663
186,30/04/2020,30,4,2020,122,0,Afghanistan,AF,AFG,38041757.0,Asia,3.06242427
187,29/04/2020,29,4,2020,124,3,Afghanistan,AF,AFG,38041757.0,Asia,2.92573237
188,28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,38041757.0,Asia,2.7285806
189,27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,38041757.0,Asia,2.42890989
190,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,2.38685085
191,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,38041757.0,Asia,2.181813
192,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia,2.09506622
193,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,38041757.0,Asia,1.97940384
194,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia,1.90580051
195,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,38041757.0,Asia,1.82431111
196,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,38041757.0,Asia,1.83219718
197,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,38041757.0,Asia,1.67710445
198,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,38041757.0,Asia,1.60350112
199,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,38041757.0,Asia,1.46943791
200,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,38041757.0,Asia,1.55618469
201,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,38041757.0,Asia,1.44052232
202,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,38041757.0,Asia,1.37743375
203,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,38041757.0,Asia,1.29594435
204,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,38041757.0,Asia,1.18028197
205,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,38041757.0,Asia,1.13033686
206,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia,1.07513436
207,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,38041757.0,Asia,0.91478425
208,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,38041757.0,Asia,0.85432437
209,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia,0.78072104
210,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,38041757.0,Asia,0.69660295
211,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,38041757.0,Asia,0.64665783
212,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.55465367
213,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,38041757.0,Asia,0.55991105
214,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,38041757.0,Asia,0.44687736
215,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,38041757.0,Asia,0.37853141
216,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,38041757.0,Asia,0.31544284
217,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,38041757.0,Asia,0.25761166
218,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,38041757.0,Asia,0.25235427
219,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,38041757.0,Asia,0.22080999
220,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.18663702
221,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,38041757.0,Asia,0.19452309
222,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia,0.10777629999999999
223,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,38041757.0,Asia,0.10251892
224,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,38041757.0,Asia,0.08674678
225,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.06045988
226,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia,0.06045988
227,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.055202499999999995
228,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.05783119
229,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,0.05783119
230,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia,0.055202499999999995
231,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,38041757.0,Asia,0.04205905
232,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.026286900000000002
233,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.01840083
234,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.01051476
235,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
236,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
237,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
238,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
239,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
240,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
241,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
242,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
243,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
244,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
245,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
246,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
247,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
248,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
249,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
250,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
251,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
252,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
253,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
254,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
255,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
256,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
257,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
258,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
259,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
260,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
261,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
262,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
263,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
264,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
265,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
266,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
267,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
268,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
269,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
270,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
271,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
272,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
273,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
274,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
275,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
276,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
